match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster
5223763109,4383376949,true,1580671735,2019,4171,5,7,22,66,7,122
5223763201,4383371485,true,1580671765,1677,4371,3,7,22,80,4,138
5223763401,4383379550,false,1580671768,2084,4522,2,7,22,74,4,132
5223763415,4383378405,true,1580671779,2089,4075,2,7,22,64,7,184
5223763418,4383386700,false,1580671777,2549,4261,5,7,22,66,6,201
5223763500,4383388118,true,1580671776,2688,5320,6,7,22,76,9,135
5223763517,4383363235,true,1580671779,1175,4737,2,7,22,70,7,186
5223763913,4383371341,false,1580671808,1645,4171,3,7,22,54,4,183
5223764213,4383377487,false,1580671821,1941,4808,3,7,22,68,6,131
5223764216,4383376163,true,1580671821,1785,4101,7,0,22,61,7,187
5223764502,4383372377,true,1580671835,1638,4177,3,7,22,61,7,137
5223764504,4383377133,true,1580671839,1976,4121,2,7,22,45,4,188
5223764512,4383394170,false,1580671840,2856,4207,2,7,22,50,5,156
5223764706,4383380939,true,1580671851,2180,4274,4,0,22,62,6,121
5223765101,4383390206,true,1580671862,2704,4514,2,7,22,52,7,201
5223765201,4383376941,false,1580671878,1799,5263,7,7,22,80,8,153
5223765316,4383397074,true,1580671885,3064,4942,6,7,22,77,6,132
5223765408,4383390522,false,1580671883,2641,4831,1,7,22,53,4,152
5223765409,4383374530,false,1580671887,1572,4415,4,7,22,72,7,181
5223765508,4383388691,true,1580671882,2706,4065,3,7,22,61,5,182
5223765618,4383382849,true,1580671900,2235,4326,2,7,22,47,6,111
5223765800,4383387240,false,1580671915,2529,4049,7,7,22,62,9,188
5223765805,4383372648,false,1580671887,1605,4237,1,7,22,48,7,133
5223765911,4383381062,false,1580671919,1972,4464,2,7,22,60,8,152
5223766015,4383377336,false,1580671925,1854,4119,1,7,22,42,3,154
5223766103,4383379332,true,1580671930,2004,4149,7,7,22,68,8,136
5223766114,4383411141,false,1580671931,4020,4576,4,7,22,70,7,193
5223766309,4383379783,true,1580671919,2008,4538,3,7,22,72,7,133
5223766514,4383422243,true,1580671956,4642,4118,2,0,22,60,3,131
5223766615,4383368731,true,1580671953,1311,4441,6,7,22,72,8,188
5223766814,4383380996,true,1580671955,2042,4175,6,7,22,71,7,134
5223766908,4383375322,false,1580671973,1717,5118,2,7,22,75,6,184
5223766912,4383378786,true,1580671968,1893,4821,7,7,22,77,7,138
5223767000,4383381803,true,1580671978,2086,4037,2,0,22,53,3,111
5223767203,4383389989,false,1580671987,2566,4077,2,0,22,61,4,154
5223767512,4383407759,false,1580672006,3797,4206,5,7,22,66,7,153
5223767518,4383380747,false,1580672001,1971,4766,3,7,22,60,6,151
5223767619,4383391143,true,1580672013,2675,4183,1,0,22,49,3,187
5223767701,4383407376,false,1580672018,3674,4667,4,7,22,74,6,191
5223767914,4383393929,true,1580672027,2845,4097,1,7,22,49,2,251
5223768318,4383388026,false,1580672052,2250,5176,5,7,22,77,8,121
5223768502,4383374453,true,1580672064,1380,4509,5,0,22,64,6,135
5223769210,4383399819,true,1580672102,3149,4196,1,7,22,61,5,181
5223769216,4383412659,false,1580672105,3964,4711,2,7,22,64,4,156
5223769300,4383383274,false,1580672106,1907,4211,5,7,22,66,7,136
5223769507,4383383901,false,1580672113,1864,4418,4,0,22,64,7,192
5223769510,4383375057,false,1580672105,1358,4891,2,7,22,79,5,251
5223769517,4383385772,false,1580672118,2208,4245,8,7,22,70,8,201
5223769615,4383389299,true,1580672122,2365,4223,6,7,22,65,10,135
5223769811,4383381250,true,1580672131,1801,5361,5,7,22,77,5,135
5223769907,4383380545,false,1580672139,1732,4332,3,7,22,69,7,133
5223769911,4383387735,true,1580672137,2226,4336,2,7,22,66,6,201
5223770002,4383385034,false,1580672133,2103,4272,1,7,22,58,5,155
5223770503,4383412908,true,1580672177,3896,4357,5,7,22,61,6,134
5223770700,4383382311,false,1580672184,1957,4579,2,7,22,64,5,132
5223770811,4383384184,true,1580672187,1995,4471,5,7,22,73,7,156
5223770813,4383379991,false,1580672189,1654,4270,1,7,22,63,5,136
5223770904,4383393592,true,1580672185,2560,4468,4,7,22,67,6,251
5223771205,4383377837,true,1580672209,1559,4155,6,7,22,65,8,132
5223771219,4383383192,false,1580672213,1923,4135,3,7,22,56,6,132
5223771319,4383399443,false,1580672212,2834,4303,5,7,22,65,7,138
5223771405,4383403757,true,1580672226,3158,4106,5,7,22,73,8,132
5223771411,4383399099,true,1580672226,2904,4109,2,0,22,58,2,135
5223771501,4383383392,false,1580672232,1914,5103,5,7,22,80,8,135
5223771517,4383383626,false,1580672232,1882,4496,3,7,22,56,6,137
5223771702,4383382421,true,1580672242,1827,5422,2,0,22,53,6,134
5223771809,4383391235,false,1580672247,2377,4794,4,0,22,66,7,133
5223771811,4383372790,true,1580672247,1275,4152,3,7,22,71,8,138
5223771814,4383386583,true,1580672243,2151,4016,3,7,22,64,8,181
5223772011,4383375249,true,1580672254,1388,4782,5,7,22,80,6,137
5223772311,4383385465,true,1580672270,2038,4310,7,0,22,75,8,135
5223772418,4383376247,true,1580672283,1459,5326,6,7,22,78,7,201
5223772701,4383399410,true,1580672288,2882,4370,5,7,22,56,9,138
5223772702,4383378094,true,1580672290,1517,4103,7,7,22,70,10,251
5223772706,4383391758,false,1580672268,2323,4345,1,7,22,73,3,251
5223772901,4383389356,true,1580672311,2166,4659,4,7,22,72,7,201
5223773107,4383396872,false,1580672311,2678,4095,5,7,22,73,6,138
5223773304,4383412603,false,1580672333,3423,4217,1,7,22,51,3,151
5223773318,4383397537,true,1580672333,2762,4871,3,7,22,75,5,181
5223773515,4383386652,true,1580672342,1930,4292,5,7,22,67,6,251
5223773518,4383388811,false,1580672334,2138,4366,4,7,22,78,7,154
5223773610,4383384229,false,1580672333,1870,6102,3,7,22,80,3,123
5223773614,4383389934,false,1580672352,2260,4560,3,7,22,68,8,185
5223773719,4383391325,false,1580672359,2299,4049,2,7,22,59,3,153
5223773904,4383389010,true,1580672370,2177,4298,1,7,22,74,8,134
5223774102,4383390563,true,1580672364,2202,4098,1,7,22,52,2,251
5223774206,4383375867,true,1580672379,1343,4792,5,7,22,75,6,201
5223774217,4383384265,true,1580672389,1734,4693,1,7,22,50,6,136
5223774610,4383393521,true,1580672411,2307,4124,4,7,22,63,8,193
5223774719,4383388594,true,1580672413,2078,4210,3,7,22,63,4,183
5223774906,4383395376,false,1580672424,2365,4056,1,7,22,46,6,121
5223775107,4383390264,false,1580672435,2130,4817,2,7,22,47,4,191
